photo_filename,width,height,class,xmin,ymin,xmax,ymax
sf_1513607914500293341_20170513.jpg,1080,1080,24 Hour Fitness,100,814,610,936
houston_1340694429262186147_20160916.jpg,1080,1330,2K Games,617,837,725,908
chicago_1675584394872921369_20171222.jpg,1080,1080,3M,213,241,273,300
la_1367065457374415071_20161023.jpg,1080,1080,76,0,0,541,550
phoenix_1777893793981119510_20180512.jpg,1080,1080,84 Lumber,735,548,857,624
london_1859547694767795508_20180902.jpg,1080,1350,888sport,516,307,632,404
sf_1599730036717661964_20170909.jpg,1080,1350,8TV,603,396,658,545
la_1236419112599930915_20160425.jpg,1080,1080,A Game of Thrones,118,3,1008,129
la_1224379459088968319_20160409.jpg,1080,1349,A&E Networks,11,79,266,271
cleveland_1688890317304088374_20180110.jpg,1080,1350,A.1. Sauce,632,813,751,1040
la_2017_1560525762455511153_20170716.jpg,1080,810,AARP,874,37,987,83
houston_1469199289997437622_20170312.jpg,1080,1080,ABB Group,0,410,888,806
london_1925007549142488186_20181201.jpg,1080,809,ABB Group,600,738,686,807
phoenix_1711440208853418598_20180210.jpg,1080,607,ABC Studios,535,284,780,454
la_1257620535220961524_20160525.jpg,1080,1079,ABF Freight System,683,180,791,342
houston_1288969064391475268_20160707.jpg,1080,1080,ACS Group,244,300,308,369
houston_1535942888227938851_20170613.jpg,480,480,ADT Inc.,127,240,153,274
la_1345155619879272952_20160922.jpg,1080,809,ADT Inc.,693,721,766,795
miami_1183427762114948484_20160212.jpg,1080,1237,ADT Inc.,731,582,826,730
phoenix_1500453742575023063_20170425.jpg,640,640,ADT Inc.,434,502,487,554
miami_1571984054248453820_20170801.jpg,1080,1080,AEBN,78,837,243,897
sf_1863660010770615304_20180908.jpg,1080,1287,AFA,395,851,523,1039
chicago_1273326041418656524_20160615.jpg,750,750,AFC West,443,506,540,566
chicago_1323295304665117854_20160823.jpg,1080,1080,AFC West,294,162,759,619
chicago_1617197649064566381_20171003.jpg,1080,1080,AFC West,304,761,460,872
sf_1063181947723170167_20150830.jpg,1080,1080,AGV,888,650,996,718
london_1549763937577279844_20170702.jpg,1080,1092,AIA Group,312,553,449,618
london_1712793545389408476_20180212.jpg,640,480,AIA Group,277,256,379,308
chicago_1522905910832497082_20170526.jpg,1080,1080,APICS,554,524,673,580
houston_1633780538531001556_20171026.jpg,750,750,AT&T,117,50,226,98
sf_1088773578520649129_20151005.jpg,640,640,AT&T Mobility,286,101,377,134
sf_1198189885892778292_20160304.jpg,1080,1080,Academy of Art University,408,63,510,195
sf_1255353639638381439_20160521.jpg,1080,1350,Academy of Art University,408,0,657,135
sf_1540904448414193279_20170619.jpg,1080,1050,Academy of Art University,111,291,194,375
sf_1594585102315059812_20170901.jpg,1080,1080,Academy of Art University,176,2,433,240
sf_1774820147955918798_20180508.jpg,1080,1350,Academy of Art University,762,544,864,662
sf_1789355794383368040_20180528.jpg,1080,1080,Academy of Art University,961,191,1064,314
la_1115035901073499619_20151110.jpg,750,750,Academy of Motion Picture Arts and Sciences,34,29,92,118
phoenix_1447216758644877558_20170210.jpg,1080,1080,Acadia University,473,92,584,180
chicago_1202883035579257315_20160310.jpg,1080,1080,Accademia dei Georgofili,70,1015,128,1074
la_2017_1563870617479734897_20170721.jpg,1080,1080,Acronis,213,614,293,700
sf_1356240145926087862_20161008.jpg,1080,1349,Activision Blizzard,33,659,917,905
charlotte_1287398713694500251_20160705.jpg,1080,1080,Acura,174,865,268,965
la_1241424587788089138_20160502.jpg,1080,810,Acura,691,126,817,250
la_2017_1669275794907019323_20171214.jpg,1080,1350,AddThis,852,1093,931,1167
chicago_1056663615142988544_20150821.jpg,1080,1080,Addison Lee,993,29,1078,167
charlotte_1326191262499701185_20160827.jpg,1080,1080,Addison Trail High School,100,488,496,704
sf_1286016345268111455_20160703.jpg,1080,1080,Adobe Inc.,255,34,311,120
miami_1856399096539426554_20180829.jpg,1080,607,Adriatica,302,522,502,571
miami_1294201400800282814_20160714.jpg,1080,1176,Aerolíneas Argentinas,559,243,663,313
charlotte_1560824418603466206_20170717.jpg,750,750,Aggro Berlin,529,538,597,576
charlotte_1814880770127182570_20180702.jpg,1080,1080,Aggro Berlin,673,685,794,793
chicago_1373450466083603507_20161031.jpg,640,640,Aggro Berlin,506,524,585,581
cleveland_1660672342608707697_20171202.jpg,750,750,Aggro Berlin,562,424,645,479
houston_1610423649704105869_20170923.jpg,750,750,Aggro Berlin,534,455,619,510
houston_1738599822598148952_20180319.jpg,1080,1080,Aggro Berlin,70,982,148,1039
miami_1235812956181803655_20160424.jpg,1080,1080,Aggro Berlin,879,930,1027,1030
miami_1414182840148467001_20161227.jpg,750,750,Aggro Berlin,2,669,142,748
miami_1541560543726772766_20170620.jpg,1080,1080,Aggro Berlin,511,1003,590,1063
sf_1288603516395218170_20160706.jpg,1080,1080,Aggro Berlin,13,951,156,1047
london_1768470772819865378_20180429.jpg,1080,1080,Ahmad Tea,747,425,863,498
charlotte_1434519211241331744_20170124.jpg,1080,1080,Air Jordan,607,438,676,512
cleveland_1200267486562958202_20160306.jpg,1080,1139,Air Jordan,790,692,943,843
houston_1181859919134431223_20160210.jpg,1080,1080,Air Jordan,673,271,748,367
miami_1170984844617490791_20160126.jpg,1080,1080,Air Jordan,846,291,926,372
houston_1124800503280327979_20151123.jpg,1080,1350,Air Transat,744,76,826,146
